campaign,date,cost,impressions,clicks,sessions,transactions,revenue,revenue_web,revenue_app,Medio,TipoCampaña
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-15,"$2,565.74","2,528","1,184",967,23,"$23,552.04","$21,935.39","$1,616.65",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-16,"$2,614.98","2,689","1,266","1,016",23,"$34,698.67","$34,040.67",$658.00,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-17,"$2,153.95","1,690",793,776,13,"$16,545.33","$16,335.93",$209.40,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-18,"$2,131.54","2,564","1,270","1,072",17,"$9,983.89","$7,212.60","$2,771.29",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-19,"$2,039.89","2,806","1,313","1,112",11,"$42,927.42","$41,709.42","$1,218.00",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-20,"$2,046.36","2,990","1,468","1,322",27,"$30,924.94","$24,997.24","$5,927.70",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-21,"$2,014.93","2,253","1,213","1,085",22,"$21,457.69","$21,457.69",$0.00,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-22,"$2,072.30","3,032","1,506","1,248",16,"$23,039.29","$23,039.29",$0.00,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-23,"$2,096.51","3,926","1,892","1,604",23,"$33,044.43","$30,412.75","$2,631.68",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-24,"$1,877.22","3,801","1,587","1,157",8,"$10,464.38","$10,464.38",$0.00,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-25,"$2,077.46","3,138","1,032",744,11,"$29,588.05","$29,588.05",$0.00,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-26,"$2,151.47","2,388","1,048",933,23,"$40,335.05","$36,435.00","$3,900.05",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-27,"$1,916.40","2,291","1,109",955,13,"$9,780.40","$9,288.50",$491.90,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-28,"$1,902.45","2,478","1,216",976,16,"$15,294.17","$15,294.17",$0.00,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-29,"$1,835.51","2,661","1,313","1,055",19,"$18,827.54","$17,752.89","$1,074.65",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-30,"$1,919.02","3,437","1,643","1,372",18,"$16,853.93","$15,335.55","$1,518.38",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2024-12-31,"$1,650.16","3,492","1,412","1,129",18,"$29,030.86","$16,242.16","$12,788.70",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-01,"$1,965.15","2,641",816,570,6,"$3,041.63","$2,143.33",$898.30,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-02,"$2,726.75","3,239","1,347","1,063",22,"$51,168.97","$23,984.47","$27,184.50",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-03,"$5,587.24","3,914","1,711","1,401",35,"$35,498.57","$32,138.61","$3,359.96",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-04,"$4,730.97","4,338","1,798","1,414",75,"$45,983.05","$18,887.95","$27,095.10",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-05,"$3,697.64","4,321","1,790","1,480",26,"$28,591.87","$23,431.53","$5,160.34",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-06,"$3,911.05","3,512","1,347","1,140",18,"$17,123.91","$16,052.71","$1,071.20",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-07,"$3,236.02","2,466","1,137",993,12,"$7,696.35","$7,486.35",$210.00,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-08,"$3,114.74","1,832",810,765,8,"$7,515.77","$6,303.02","$1,212.75",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-09,"$3,024.75","2,286",980,775,8,"$31,384.15","$29,474.86","$1,909.29",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-10,"$3,207.54","2,189",929,811,25,"$31,620.52","$29,543.80","$2,076.72",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-11,"$2,942.19","2,297",888,712,24,"$21,093.56","$17,533.61","$3,559.95",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-12,"$1,797.99","2,120",849,700,26,"$40,296.63","$30,651.58","$9,645.05",aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-13,"$3,049.57","2,166",829,656,10,"$6,475.35","$6,367.55",$107.80,aw,SEM BRAND
aw_chedraui_ecomm_do_sem_brand_geografico,2025-01-14,$446.20,319,127,73,0,$0.00,$0.00,$0.00,aw,SEM BRAND
aw_chedraui_ecomm_think_dsa_general,2024-12-15,"$10,875.03","62,462","3,189","3,711",78,"$79,124.11","$49,143.04","$29,981.07",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-16,"$11,957.64","60,311","3,436","3,736",55,"$35,998.46","$10,672.23","$25,326.23",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-17,"$4,277.32","30,476","1,815","2,646",42,"$32,981.55","$19,899.70","$13,081.85",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-18,"$4,088.65","22,949","1,400","2,187",55,"$39,962.22","$26,879.95","$13,082.27",aw,DSA
aw_chedraui_ecomm_think_dsa_general,2024-12-19,"$4,289.70","25,878","1,473","2,084",31,"$33,840.71","$23,585.39","$10,255.32",aw,DSA
